Date,Solana,Wrapped Bitcoin,Bitcoin
2023-12-18,0.0471354519254947,0.026784597829951,0.0304335845227197
2023-12-19,-0.0182574741419322,-0.0066441057446712,-0.0082820837151126
2023-12-20,0.1260650899480135,0.0316791052751228,0.0326876134052842
2023-12-21,0.1419078621687299,0.0065406517244208,0.0049688697318006
2023-12-22,0.0442052984708338,0.0023053150194753,0.0029348640929083
2023-12-23,0.097858945595125,-0.0040390901717368,-0.005872083923035
2023-12-24,0.0454576751179975,-0.0166106848207795,-0.0165393996404319
2023-12-25,0.0769989843771512,0.0125437348400712,0.0138790638610564
2023-12-26,-0.0699131155673227,-0.0251854360444087,-0.0250552532009955
2023-12-27,-0.0501695300859619,0.0233650897108546,0.0216943649202225
2023-12-28,-0.0459638676649966,-0.0201768177354357,-0.018760276947869
2023-12-29,0.0412023417681319,-0.0135788434597823,-0.0123968967987939
